# Constructed from biom file
#OTU ID	R1	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R2	R20	R21	R22	R23	R24	R25	R26	R27	R28	R29	R3	R30	R31	R32	R33	R34	R35	R36	R37	R38	R39	R4	R40	R5	R6	R7	R8	R9
296e42b7404b6c6b92ddfe29bc55c71c	33.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	365.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0	0.0	0.0	55.0	0.0	0.0	253.0
38830e35c943f4e4724ccf6b29642208	902.0	174.0	3453.0	1663.0	1025.0	1001.0	3810.0	1295.0	12.0	5421.0	217.0	193.0	9398.0	13.0	1900.0	2632.0	0.0	503.0	2508.0	17.0	2919.0	5075.0	11.0	40.0	8268.0	3818.0	8261.0	7078.0	8686.0	5989.0	10824.0	131.0	614.0	3903.0	87.0	970.0	2247.0	2887.0	1000.0	19.0
752f0937d67fe959eb235b63980c1078	45.0	0.0	24.0	0.0	0.0	20.0	0.0	11.0	10.0	24.0	49.0	67.0	0.0	24.0	92.0	24.0	23.0	155.0	37.0	16.0	28.0	0.0	32.0	36.0	19.0	74.0	20.0	0.0	27.0	0.0	23.0	37.0	25.0	60.0	44.0	0.0	0.0	0.0	0.0	0.0
7aa3884a782890fabcd46015b6858cd0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	5.0	7.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
216b704d14fb460009d0d1c90f9ea9e4	2301.0	0.0	0.0	63.0	51.0	0.0	1204.0	0.0	0.0	135.0	194.0	0.0	58.0	0.0	154.0	25.0	18.0	4231.0	129.0	0.0	0.0	50.0	0.0	126.0	0.0	27.0	0.0	141.0	61.0	36.0	0.0	35.0	2578.0	0.0	78.0	66.0	26.0	0.0	0.0	0.0
8cae507672b6017324ec6c16a3f849af	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	26.0	114.0	191.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
5342a09ba2b87ce86992bf2ca1f96ff0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	751.0	24.0	0.0	0.0	65.0	0.0	233.0	0.0	20.0	484.0	338.0	0.0	0.0	0.0	28.0	1431.0	1075.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	409.0	0.0	0.0
85339d18e96cde7f68930656ad984428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	31.0	0.0	0.0	31.0	0.0	0.0	0.0	16.0	15.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	10.0	0.0	0.0	0.0	0.0	0.0
cb6a7cd83458ce7c4fec85821d1a5a80	2544.0	50.0	4931.0	161.0	3124.0	3507.0	52.0	3244.0	7499.0	7913.0	149.0	506.0	331.0	6735.0	7005.0	7871.0	43.0	880.0	2999.0	4442.0	2446.0	4277.0	9982.0	7625.0	87.0	1056.0	12.0	113.0	0.0	3651.0	42.0	382.0	740.0	5084.0	0.0	4786.0	8018.0	5833.0	5247.0	9057.0
3ae540e4a4d3943803090009b701b030	0.0	8618.0	503.0	11.0	14885.0	16168.0	104.0	10288.0	11.0	58.0	187.0	0.0	11.0	100.0	15788.0	0.0	28.0	53.0	167.0	23.0	26.0	65.0	53.0	58.0	0.0	67.0	11.0	190.0	40.0	0.0	52.0	18181.0	2700.0	0.0	0.0	13158.0	13.0	0.0	5203.0	227.0
cc05895ca09ec24bdf44e91868c50e18	0.0	0.0	0.0	2874.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abaad1e8d5e8fa01a4f17db3bcf31d91	7204.0	0.0	19.0	0.0	21.0	0.0	1598.0	0.0	0.0	12.0	47.0	26.0	11.0	0.0	168.0	0.0	0.0	28.0	13.0	0.0	0.0	0.0	31.0	0.0	8.0	9.0	0.0	68.0	9.0	19.0	0.0	54.0	1430.0	22.0	0.0	7691.0	0.0	0.0	0.0	5.0
8adf191cf5cf5e8f77527f691fff6f30	13.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	9.0	10.0	0.0	0.0	0.0	0.0	16.0	14.0	22.0	7.0	18.0	0.0	12.0	0.0	0.0	0.0	0.0	21.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
1f0335bfe6cdd6ee7afa73f52630409d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eaeda023705f2f92abf49a0eb8886134	138.0	7909.0	38.0	32.0	42.0	0.0	20046.0	197.0	52.0	178.0	4805.0	53297.0	0.0	71.0	206.0	453.0	107.0	133.0	71.0	31.0	63.0	97.0	129.0	105.0	27.0	0.0	0.0	39.0	54.0	26.0	24.0	27.0	85.0	56.0	25.0	432.0	27.0	43.0	41.0	44.0
1a5b731537765938c50444a74489535d	22.0	0.0	0.0	5.0	14.0	0.0	0.0	8.0	14.0	10.0	27.0	14.0	17.0	24.0	43.0	26.0	18.0	75.0	18.0	7.0	0.0	33.0	27.0	45.0	0.0	41.0	0.0	15.0	0.0	16.0	15.0	0.0	21.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0
4d896f37765cb2155adb8b9fb0e0960b	107.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	3.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
61fe92d2acbe164a5e875b1dedb2ee6e	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7866588c5226f2da9c868ecb554a17b3	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	57.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	17.0	0.0	18.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
76b8e194dbb65501efaab46147f369f5	11738.0	5137.0	9759.0	6094.0	10592.0	8485.0	96.0	8199.0	11152.0	11993.0	14865.0	88.0	12092.0	10082.0	9054.0	11091.0	13114.0	5949.0	289.0	7840.0	8993.0	12316.0	0.0	12221.0	8882.0	10688.0	10970.0	8272.0	9105.0	8677.0	12265.0	8587.0	12574.0	17079.0	16157.0	5408.0	16509.0	11482.0	9679.0	11920.0
09597918733ecd617e9c7b0c39702454	133.0	0.0	0.0	0.0	4.0	0.0	53.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	297.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	18.0	0.0	0.0	38.0	54.0
e854fa3cd29ac7e7cad1eb27fb0ad02d	55.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
89c738f7d42ccc9ae9ab8289601ddce9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0
cb1b6ef19903c4e7d534eec277453b02	918.0	8048.0	7.0	0.0	14.0	13.0	5790.0	35.0	12.0	59.0	114.0	9236.0	22.0	23.0	29.0	37.0	0.0	2229.0	36.0	0.0	0.0	32.0	0.0	145.0	308.0	1764.0	0.0	112.0	24.0	34.0	21.0	2634.0	1630.0	29.0	8.0	217.0	34.0	15.0	5.0	31.0
6417823ecde517cbd2584bafdd832e75	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0
4dcc388418f8510dbdea6b1eb990eff4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
06ac72abf1741c259b110e41269edcb9	152.0	0.0	1094.0	0.0	475.0	0.0	91.0	0.0	848.0	0.0	36.0	24.0	127.0	0.0	380.0	4810.0	9.0	438.0	4059.0	1921.0	1038.0	1430.0	3439.0	29.0	17.0	34.0	5.0	54.0	0.0	18.0	15.0	115.0	360.0	3833.0	0.0	321.0	0.0	0.0	997.0	1313.0
b9da5f7e83201f401470bd9c908ca742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0158969022fce46e458d217626813c93	245.0	43.0	0.0	38.0	0.0	50.0	4891.0	37.0	0.0	29.0	37.0	130.0	0.0	0.0	286.0	2417.0	0.0	448.0	449.0	0.0	0.0	163.0	1030.0	55.0	1249.0	15.0	0.0	40.0	0.0	827.0	0.0	0.0	0.0	0.0	0.0	253.0	0.0	0.0	1001.0	0.0
51feeb3b91c507f525510ce30762b608	0.0	0.0	870.0	0.0	0.0	0.0	0.0	264.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2c79faba55133352e5cdece39a99d406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
